title,description,department_id,number,course_id
Modern China,"This lecture course will provide a survey of some of the major issues in the history of post-imperial China (1912- ). Beginning with the decline of the Qing and the dramatic collapse of China&rsquo;s imperial system in 1911, the course shall examine how China has sought to redefine itself anew over the past one-hundred years. The revolutionary years of 1911, 1949, and 1978 will serve as our three fulcra, as we investigate how China has tussled with a variety of &lsquo;isms&rsquo; (such as republicanism, militarism, nationalism, socialism, and state capitalism) in its pursuit of an appropriate system of governance and social organization. In so doing, we shall also explore the social, economic, cultural, and scientific changes wrought by these varied attempts at state-building.",72,HIST 1602,10933
Food for Thought: Culinary Culture in Spain and Beyond,"The French have said that the history of a nation depends on what they eat. Yet in the case of Spain, it&rsquo;s clearly the reverse. What Spain has eaten has been a consequence of the country&rsquo;s vast -and often turbulent- history. Invasions, expansions, exile and immigration have created and continue to create the cuisine and culture, which will be our focus in this seminar. Likewise, we will consider Spain&rsquo;s culinary exchange with Latin America, with specific reference to Argentina, Peru and the Caribbean. From don Quijote&rsquo;s rudimentary repas, to Almod&oacute;var&rsquo;s gazpacho, we&rsquo;ll conclude at the tables of the globalized metropolis. We will first consider food and identity, then food, its rituals and traditions. We will examine Spain from the Middle Ages until the present, the history and regions of the peninsula, and the culinary consequences of transatlantic voyages. We will also consider the repercussions of Europeans arriving in the 19th century, and those of the many closer, traumatic events of the 20th century, and beyond. The readings, all in English, are by novelists, historians, chefs, food critics, sociologists, poets, cartoonists and travel writers over the span of ten centuries. The films and videos are more recent, and will have subtitles. No previous knowledge of Spanish language, or travel to any of the countries mentioned, is required. Neither do prospective students need extensive cooking skills. The only pre-requisite is curiosity about what, why, and how the people of Spain and Latin America have eaten throughout their history, and how this reflects identity and culture of these lands.",56,FRSEMR 32M,10805
"Black Holes, String Theory and the Fundamental Laws of Nature","The quest to understand the fundamental laws of nature has been ongoing for centuries. This seminar will assess the current status of this quest. In the first five weeks we will cover the basic pillars of our understanding: Einstein&rsquo;s theory of general relativity, quantum mechanics and the Standard Model of particle physics. We will then examine the inadequacies and inconsistencies in our current picture, including for example the problem of quantum gravity, the lack of a unified theory of forces, Dirac&rsquo;s large numbers problem, the cosmological constant problem, Hawking&rsquo;s black hole information paradox, and the absence of a theory for the origin of the universe. Attempts to address these issues and move beyond our current understanding involve a network of intertwined investigations in string theory, M theory, inflation and non-abelian gauge theories and have drawn inspiration from the study of black holes and developments in modern mathematics. These forays beyond the edge of our current knowledge will be reviewed and assessed. The format of the course will be discussion of weekly reading assignments, and a final paper. Non-scientists are welcome.",56,FRSEMR 21V,10792
Brain Invaders: Building and Breaking Barriers in the Nervous System,"The brain has evolved a unique but very effective system to protect itself from invaders. In this course, we will explore the specific defenses that the nervous system uses to protect itself. We will also examine how some pathogens evade or breach those defenses and the impact of those invasions. Finally, we will explore how scientists have been able to translate their understanding of these pathogenic mechanisms into technologies for research and therapeutic applications.",98,MCB 170,11037
"Revolution and Reform in Britain and France, 1820-1880","The Industrial Revolution transformed social class and caused urban squalor, deep poverty, and unrest. But while France saw three major revolts (1830, 1848, 1871) Britain remained quiet. Why? This course explores that question, using novels by Dickens and Hugo and historical evidence on life in London and Paris. We will also look at contemporary representations of the 19th century, asking what they tell us about modern understandings of class inequality, revolution, and reform.",73,HIST-LIT 90AV,10960
Youth Protest in Europe,"This seminar examines the &quot;spirit of 1968&quot; in Prague, Paris, and Berlin. It examines specific protests in these cities in the context of widespread challenges to state control, capitalism and racism. The seminar show how political critiques were expressed through nonconformity in dress, sexuality, and gender. It explores the anger and passion of &rsquo;68 through an analysis of films, music, manifestos, and memoirs. The course reflects briefly on the legacy of the protest mentality of 1968.",73,HIST-LIT 90AY,10963
Introduction to Social Movements,"Social movements and revolution have long been driving forces behind political, social, and cultural change. From the Civil Rights movement of the 60s to the recent and unpredicted ""Arab Spring,"" the extraordinary mobilization of ordinary people is routinely credited with fundamentally re-shaping societal institutions--the polity, the economy, religion, gender, race, and even the environment. But can we really define and study something as ephemeral as social mobilization? Do we know how social movements begin? Why might they become revolutionary? Can they make a difference in the societies they target? This course examines these questions within the sociological literature on collective action. Theories of social movements and revolutions are then applied to a series of case studies around the globe. Case studies may include the US, Iran, China, El Salvador, Chile, India, Poland, Argentina, Egypt, and Nigeria, among others. Students will also be required to apply course readings to the collective action case of their choosing throughout the semester.",137,SOCIOL 27,11158
Topics on Computation in Networks and Crowds,"Topics on the design and analysis of algorithms, processes, and systems related to crowds and social networks. Readings in AI, theoretical CS, machine learning, social science theory, economic theory, and operations research.",50,COMPSCI 234R,10730
Dysfunctional Family as National Allegory in the Middle Eastern Novel,"The radical changes following the emergence of the modern nation state in the Middle East have been most graphically illustrated in the novel. This course examines the trope of the family in flux in narrating the destabilization of traditional social structures, shifting loyalties, and conflicting articulations of identity. The course interrogates the F. Jameson and A. Ahmad debates on `thirdworld' and `national allegory' in reading selected novels of the post WWII period to the present, from Turkey, Iran, Israel, and the Arab World. Authors include Naguib Mahfuz, Mohamed Shukri, Hanan Shaykh, Sahar Khalifa, Amos Oz, Elif Shafak, and Mahmoud Dowlatabadi.",24,COMPLIT 255,10677
Social Change in Modern Korea,"This course explores the incredible transformation of Korean society in the modern period. We begin with the demise of the Choso/a7n Dynasty at the end of the 19th century before covering the Japanese colonial period (1910-1945), the emergence of two Korean nation-states (1945-1948), the Korean War (1950-53), and the contemporary period (1960-present). The course is divided into two distinct parts. In the first part of the course we discuss Korea's political and economic transformation and in the second, we cover social and cultural change. Upon completion of the course, students should have a thorough grasp of the vast social changes Korea underwent in the 20th century.",137,SOCIOL 181,11169
Democracy and Social Movements in East Asia,"Social movements are an important part of both democratic and non-democratic societies. This course assesses the state of civil society in East Asia by surveying contemporary social movements in China, Taiwan, Hong Kong, Japan, and South Korea. We start the course by discussing the main concepts and analytic approaches in social movement theory. We then apply these theoretical frameworks to specific mobilization efforts in East Asia, keeping in mind each country's unique historical context. With the theoretical and empirical tools gleaned from the lectures and readings, students will pursue a case analysis of an East Asian social movement of their choosing.",137,SOCIOL 189,11170
Pollution Control in Aquatic Ecosystems,"This course is focused on aspects of environmental engineering related to the fate, transport, and control of pollution in surface water ecosystems. Course modules will cover ecological impacts of environmental contaminants; surface water aspects of engineering hydrology, including rainfall-runoff relationships; quantitative models of pollutant fate and transport in rivers, lakes, and wetlands; best management practices for the prevention and control of aquatic pollution; and sustainable natural treatment systems for water quality improvement.&nbsp;",51,ENG-SCI 163,10732
From Plantations to Prisons,"From Plantations to Prisons serves as an introduction to the current crisis of mass incarceration. Specifically, it focuses on the religio-historical roots of the U.S. penal industry, suggesting a continuum between plantations and prisons that calls into question our basic notions of justice. The course draws from academic, media, and narrative sources to give particular attention to factors long associated with crime and punishment, such as sin, race, and citizenship. We will also study the unprecedented prison-population explosion (in terms of race, gender and class), and its relationship to major social problems in American cities. Questions for consideration: How do we understand punishment? What is the relationship between race and crime? How are human rights, democracy, and family at risk? An optional visit to at least one Massachusetts state jail/prison will be incorporated into the curriculum.",137,SOCIOL 119,11166
Media and Popular Culture,"Explores American society and culture through the lens of its various media, including television, literature, music, movies, and the internet. Topics include class and cultural consumption, the business dynamics of the art world, the power of advertising and mass media, children's media and the online worlds of adolescents, and the rise of urban creative economy. Throughout, students will have opportunities to explore and evaluate ideas from class via independent social and media research. Appropriate for sociology concentrators and non-concentrators alike.",137,SOCIOL 115,11165
Chant,"Gregorian Chant. From the time of Charlemagne until the 21st Century, the music called Gregorian chant has been in uninterrupted use in the West. This course will consider the music, the styles, the genres, and the sources of this music. Singing will be encouraged.",99,MUSIC 191RTKC,11041
Revolution and Politics in Contemporary Iran,"Iran is increasingly a significant power in the Middle East and a salient country to global affairs. Accordingly, this course examines the intricacies of Iranian politics since the 1979 revolution. It explores a broad range of topics including the causes of the Iranian revolution; the political implications of the Islamic regime's institutional architecture; the competitive factional dynamics within the ruling elite; Iranian foreign policy, Iran-US relations, and nuclear negotiations; and Shia political ideology.",70,GOV 94PY,10881
Legalism,"The course invites students to explore the distinctive characteristics of legalistic modes of thought and the moral justifications offered for legalism. We will also consider a variety of moral objections to legalism: the power of romantic resistance to rule-making and rule-following, ""realism"" and others. Legalistic practices and institutions - juries, university disciplinary committees, contracts, ""truth commissions"", and others -- provide materials for reflecting on the use and misuse of rule-making and rule-following. Readings include political theory, literature, and court cases.",70,GOV 94LG,10880
Cyberpolitics,"This seminar examines how the digital age has transformed politics around the world, in democratic and authoritarian contexts. Information and communication technologies change how people, states, and non-state actors interact. Social media (Facebook, Twitter) facilitate information-sharing and collective action. Technology creates new access points and new vulnerabilities. The course includes four modules: e-Democracy (civic engagement, elections, accountability); Online Revolutions (resistance, repression, mobilization); Security (cyberwar, terrorism, hacking); and Beyond State Boundaries (international cooperation, diasporas, transnational activism).",70,GOV 94XP,10887
Talking About Food,"In the 19th century food became an object of aesthetic discourse, a focus of gustatory enjoyment and verbal pleasure. Readings include 19th-century food writers and novelists, and contemporary historians, commentators, and theorists.",126,FRENCH 127,11102
History Lab,History Lab offers History concentrators and other students a chance to spend a semester working with History faculty on faculty research projects. Outcomes will include familiarity with a range of digital tools for research and data visualization and insights on how to design and execute a major research project. Please consult the course&rsquo;s Canvas site for details and a list of the projects offered this term.,72,HIST 92R,10916
Approaches to Global History: Seminar,"Approaches to global history, including economic and labor systems, cultural transfer, imperial frameworks, migration, and environmental challenges. Students will prepare and present a research paper as well cover common readings.&nbsp; Students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit.",72,HIST 2950A,10956
Case Studies in the Medical Humanities: Interdisciplinary Perspectives on the Experience of Illness,"Disease and healing pose pragmatic and moral challenges for individuals and societies. Artists and writers have struggled to make sense of these tragic and transcendent experiences through fiction, poetry, art, and music. Scholars can explore these archives of the illness experience to understand not just disease and medicine but also what it means to be human. This interdisciplinary course examines how the medical humanities can change how we think about suffering, resilience, and care-giving, an endeavor relevant to anyone who expects to encounter these problems in life (i.e., everyone). In 2015 the course will focus on epidemics; case studies may include plague, tuberculosis, cancer, AIDS, SARS, and Ebola. Future offerings might address chronic disease, mental illness, death and dying, or caregiving.",58,CULTBLF 58,10854
LGBT Literature,"This course examines a range of works from the British and American LGBT (lesbian, gay, bisexual, and transgender) canon. Our starting premise will be that LGBT themes have been central, rather than peripheral, to the Western literary tradition. We&#39;ll pay close attention to how sexual identity, gender identity, sex, and desire are understood and represented in different social and historical circumstances, as well as the aesthetic traditions and personal experiences shaping these individual works. Authors include James Baldwin, E.M. Forster, Nella Larsen, and Audre Lorde.",149,WOMGEN 1237,11186
Advanced Readings in Classical Arabic Bridge IV: Religious Sciences,"Reinforcement of advanced classical Arabic grammar and stylistics, and introduction to various genres of Quran, Hadith, Sira and Tafsir.",102,ARABIC 243DR,11051
The Joy of Electronics - Part I,"Introduction to designing circuits to solve real problems. Two lecture and two lab sessions a week blend instruction with hands-on lab work to emphasize understanding, building and testing circuits. The course incorporates useful design experiences from day one. Covered topics include amplication, feedback, impedance, stability, filtering, switching, digital logic, microcontrollers, and more. The class ends with an open ended project that challenges students to build on core concepts.",51,ENG-SCI 52,10731
Primate Functional Genetics and Genomics,"Recent advances in genetics, genomics, and developmental biology are improving our understanding of human and non-human primate biological traits. These disciplines, when incorporated into a multi-faceted context, can reveal the mechanistic basis of evolutionary adaptations. This seminar is designed to investigate and critically evaluate foundational and novel research in primates (and other organisms) that employs the tools of these trades. In doing so, students are exposed to an integrative perspective upon which to explore classic and modern questions in functional biology.",78,HEB 1451,11005
Introductory Real Analysis,"An introduction to mathematical analysis and the theory behind calculus. An emphasis on learning to understand and construct proofs. Covers limits and continuity in metric spaces, uniform convergence and spaces of functions, the Riemann integral.",81,MATH 112,2851
Spanish for Latino Students,"Designed for Latino students, this course builds on students' previous knowledge of Spanish to expand and strengthen their oral and written interpersonal, interpretive and presentational communicative skills. Spanish grammar is reviewed using a functional approach to highlight differences found in informal and academic contexts. Students explore the topics of language, cultures and identity in the U.S and in the Spanish-speaking world , using a variety of texts and genres, music, videos, films and visual arts.",132,SPANSH 49H,11126
Readings in Philosophical Psychology,"We will discuss a range of issues related to cognitive architecture. Topics will include some but probably not all of the following: the cognitive underpinnings of implicit bias, Bayesian theories of perceptual processing, the distinctions between perception and sensation, the distinctions between perception and cognition, the perception of agency, and the epistemology of perception.",122,PHIL 160,11079
Parisian Cityscapes: 1960-Present,"Focuses on the transformations of Paris and the very concept of city under the impact of globalization and decolonization. By way of film, fiction, music, architecture and critical texts studies the effects of modernization and architectural reconstruction on the city's inhabitants. Also explores tensions between traditional and urban cultures, between the inner city and the banlieue.",126,FRENCH 167,11106
How to Read Drama: Theater History/Theories of Representation,"Examines French drama from the early-modern stage to post-dramatic theater from literary, theoretical, historical, and visual culture perspectives. We read dramatic texts (16th-21st century), theories of performance, visual sources, treatises on acting.",126,FRENCH 225,11109
Arts of South and Southeast Asia,"This is an introduction to the arts of South and Southeast Asia from the second millennium BCE to the present. Each lecture will examine selective artifacts and sites to understand the history of major artistic traditions developed in response to cultural exchanges and political dynamics within and beyond the region. By examining a wide range of material, such as Buddhist sculptures, Hindu temples, Jain manuscript paintings, Islamic tombs, calendar art, and so on, with fundamental art historical questions, we will consider what makes the arts of South and Southeast Asia unique as well as universal in the twenty-first century context.",75,HAA 18S,10968
South Asian Temple: Theory and Practice,"The main mode of production in Indian temple architecture is often explained through a strict diagram or vastupurusamandala, an idea extracted from Sanskrit artistic treaties (silpasastra or vastusastra) of varying dates. Going beyond this essentialist tendency, the seminar will explore design strategies adopted to create the most powerful sacred space for each religious and political community and examine the historical relationship between the circulation of such architectural (and artistic) knowledge and the production and use of an actual temple. In particular, we will explore the relationship between the architectural representation (as in architectural motif in sculpture and painting) and the architecture as built environment. &nbsp;The regional focus for this semester will be on Deccan (i.e., cave temples). &nbsp;While some prior knowledge of South and Southeast Asian art, history, or religion may be helpful, none is required for the successful completion of this course.&nbsp;&nbsp;&nbsp;",75,HAA 285M,10986
"Global Workers, Professionals & Entrepreneurs: The New Economic Order Across Borders",We live in a world where economic activities increasingly span national borders. How do individuals navigate the economic and social relations across borders? This tutorial will guide students through the preparation of an empirical research paper on this broad question.,137,SOCIOL 98GC,11161
Science and the Cold War,"The Cold War was an era of unprecedented growth in the sciences -- and unprecedented political stakes for scientific research. This course will cover the history of the physical, biological, and human sciences during the Cold War. We will look at science on both sides of the Berlin Wall, paying particular attention to intersections between science, politics, and governments. Topics will include the Manhattan Project, the development of ""big science,"" genetics and Lysenkoism, the nuclear arms race and the space race, scientific espionage, and communication between scientists in the West and in the Soviet world.",76,HISTSCI 122V,10989
Explaining Epidemics,"Outbreaks of epidemic disease have played a role in shaping human societies from the beginning of recorded history, transforming demographic patterns, social practices, and cultural expectations. Although they take fewer lives than the diseases we encounter every day, epidemics possess an extraordinary hold over our collective imagination. This course seeks to understand why. Through an analysis of outbreaks ranging from the Black Death to Avian Flu, we will explore the place of epidemic disease in human history, taking into account how those living in different times and places have responded when epidemics have appeared.",76,HISTSCI 149V,10994
Cell Biology Through the Microscope,"MCB 68 explores three fundamental fields of eukaryotic cell biology: chromosome segregation, cell motility, and neuroscience. Each topic is approached from a historic and technical perspective. Students will discover these systems as the scientific field did, learning how each successive advance in microscopy revealed new biological details. Students will come away with a theoretical and hands-on understanding of microscopy as well as a grasp of the biological findings each technology revealed.",98,MCB 68,11036
Frameworks: The Art of Looking,"Visual information today is superabundant thanks to our smartphones, tablets, and other screen-based gadgets. But few of us recognize how thoroughly our habits and experiences of looking have been conditioned by interfaces with long and complex histories. Participants in this course, developed as part of the Humanities Project at Harvard, will approach looking through a consideration of key technologies from its history, such as the telescope, the cinema, and the easel painting. Students will learn about the hidden intricacies of looking and hone skills of visual, material, and spatial analysis through encounters with aesthetic objects from Harvard&#39;s collections.",479,HUMAN 11A,11007
Frameworks: The Art of Listening,"Our world is steeped in sound, but we must learn to pay attention to listening. Sounds produce emotions, mark out spaces, call up memories; silence can be deafening; voice is a marker of identity. This course will sharpen our ears. We explore the sonic world through diverse readings and creative projects with sound. Discussions and assignments will open our minds (and ears) to listening practices, what the arts teach us about listening, and how we describe our experiences as listeners. We examine the relationships between sound and time, community, responsibility and attentiveness, and explore the soundscape in which we live.",479,HUMAN 11B,11008
Frameworks: The Art of Reading,"This course introduces ""reading"" as a wide-ranging practice of interpretation, applicable to social phenomena and historical narratives as well as to literary texts. Participants in this introduction to the humanities will examine a range of texts, from poems and political journalism to graphic novels and blogs, both to practice close and subtle reading and to see how these texts seek to establish rules for their own interpretation. Rather than look at a particular artistic tradition or literary history, we will develop a set of ""all-terrain"" interpretive skills that can be deployed on a range of intellectual and cultural objects.",479,HUMAN 11C,11009
Evolution of Human Cooperation: Research Seminar,"Seminar on current research on the evolution of human cooperation and its cognitive basis. Includes readings, seminar discussion, and training in relevant research methodologies.",124,PSY 2357R,11097
The Freudian Century,"Explores the consolidation and rise to prominence of a distinctively modern psychological perspective on human nature, motivation, and desire from 1900 to the present. Opens with the debut of therapeutic culture and the Freudian recasting of the self, with attention to dreams, sexuality, interiority, gender, and cultures of trauma. Moves to the mid-century period and beyond, the heyday of the psychological perspective in the United States, looking at the psychology of affluence, the invention of ""identity,"" the new narcissism, and personalities and power in the workplace. Ends with an assessment of the virtues and liabilities of the 21st century expressive self.",76,HISTSCI 179,10999
"Faith and Authenticity: Religion, Existentialism and the Human Condition","What is an authentic individual life? How does one find meaning in light of modern challenges to claims about the nature of God, revelation and the soul? Is religious faith compatible with an understanding of historicity and the threat of nihilism? This course introduces central questions in Western philosophy of religion through close reading of fundamental texts in existentialism with some attention to their Christian theological sources. Reading and participatory discussion of text by Plato, Paul, Luther, Kierkegaard, Nietzsche, Dostoevsky, Sartre, de Beauvoir, Camus, Heidegger, Bultmann and Tillich.",160,RELIGION 57,11217
Psychology of Language,"How do children manage to learn the sounds, the words and the grammar of their native language in three years or less? Does the language that we speak change how we think? What happens in the mind (and brain) that allows us to convert sound into meaning during language comprehension (and meaning into motor movements during language production)? Why are human languages similar to each other in some ways, and what allows them to vary in others? We will explore these questions integrating the perspectives of linguistics, psychology and cognitive neuroscience.",124,PSY 1605,11096
"Religion, Gender, Identity in 21st Century Diasporic Muslim Fiction","Diasporic Muslim fiction in the West: We will read 21st century novels by writers of Muslim background based in Europe and the U.S.&mdash; exploring, among others, themes of border crossings, the Muslim immigrant experience, figurations of gender and sexuality, and representations - and contestations - of Islam in the West. Readings include (provisional list): Ben Jalloun, Leaving Tangier, Hosseini, The Kite Runner, Hamid, The Reluctant Fundamentalist, Lalami, Secret Son, Aboulela, Minaret, Jarrar,&nbsp; A Map of Home, Shafak, Forty Rules of Love.",160,RELIGION 1844,11253
What Disease Teaches about Cognition,"Seeks to reconcile the complicated and messy problems of patients with brain disease with the concise analysis of precisely defined cognitive functions in normal subjects. Students will learn to overlap cognitive functions on to the brain in disease - at the gross dissection and imaging levels - and to understand some of the complex interactions of individual cognitive operations in disease. Includes dissection of a human brain, mapping on to imaging, dissection of multi-dimensional clinical disorders into their component functional parts.",97,MBB 980H,11034
The Origins and Evolution of Cognition: A Comparative Study of Human and Nonhuman Abilities,"Most scientists agree cognition is widespread in nature and involves an organism processing information to solve problems (like avoiding predators, finding prey, attracting a mate, achieving shelter), and in humans higher-level reasoning and conceptualizing. Less clear are the origins and evolutionary basis of cognition-what evolutionary pressures were exerted that selected for such processing? Explores possible ways to answer this question with research in anthropology, neurobiology, philosophy, psychology, genetics, sociality, and other disciplines. Faculty from a variety of departments attend discussions in their areas of expertise and assist students in coming to their own conclusions.",97,MBB 980G,11033
Legal History Workshop,"This workshop will examine major works in the field of legal history, important historiographical debates and critical methodologies. Students will participate in workshop presentations by leading scholars.",72,HIST 2475,10954
"Technology, Environment, and Society","Our interactions with the natural world are increasingly mediated through changes in technology. Technologies create risks, generate solutions, reshape the environment, and alter our perception of the boundaries between nature and artifice. This course draws on major theories of technology and society to inform and deepen our understanding of environmental problems and policy options.",53,ESPP 77,10786
Himalayan Art,"Understood as a divine abode in Indic mythology and envisioned as the immortal realm of ""Shangri-la"" by later western interpreters, the Himalayas abound with Hindu and Buddhist holy sites. This course explores the vibrant visual culture of the Himalayan region. Two learning goals are: 1) Understanding the historical development of distinctive artistic forms in paintings and sculptures of Nepal and Tibet during major moments of artistic innovations in the region, including the artistic responses to the current political situation; 2) Locating this knowledge in the context of the history of reception and collecting of Himalayan art in the west.",75,HAA 183K,10982
Adam & Eve,"What is the power of a story? For several thousand years Adam and Eve were the protagonists in the central origin myth of the Jewish, Christian, and Muslim worlds. That myth was the arena for ethical reasoning about transgression and innocence, sexuality, gender roles, labor, suffering, and death. Jointly taught by History of Art and Architecture and English, our course focuses on this enigmatic story and its spectacular elaborations in theology, philosophy, literature and art. Above all, looking closely at some of the greatest achievements of European art and literature- from Durer, Michelangelo and Rembrandt to Milton's Paradise Lost- we will compare the possibilities of the verbal and visual arts in portraying human being.",60,ETHRSON 37,10969
Existential - Phenomenological Anthropology,"The aim of this seminar course is to familiarize students with some of the topics, themes and methods associated with existential phenomenological thought, and to explore ways in which this tradition may prove useful to students in their own research and writing. Key concepts include intentionality and temporality, the epoch&eacute;, the body-subject, praktognosis, flow experience, life world, intersubjectivity, the illusio, being-in-the world (Dasein), narrativity, space and place, language and experience, the emotions and the imagination.",160,RELIGION 1915,11255
The Politics of Storytelling,"This course addresses Hannah Arendt's thesis that storytelling is a critical strategy for bridging the gap between private and public realms. Storytelling is thus understood as a mode of social and political activity that involves a struggle between personal and collective representations of the ""truth"" and between unofficial and official versions of events. Through the close analysis of storytelling in a variety of situations, we will explore the ways in which the meaning of stories resides not in any ahistorical essence or internal logic, but emerges from the everyday human struggle to strike a balance between domains of experience that are, on the one hand, felt to belong to oneself or one's own kind, and, on the other, felt to be shared by or to belong to others.",160,RELIGION 1920,11256
What is the History of Medicine?,"The emergence of the science of medicine and its professionalization have been integral aspects of human history. The history of medicine allows us to trace the various traditions that have come together to create ""modern medicine."" In this section, students will examine the human endeavor to be healthy and to cure disease. The practice of medicine draws on changing ideas about the natural world and the body. It also demands interventions in the physical environment so as to maximize public health, and readily incorporates transformative technologies from other sectors of human society. Students will be asked to reflect on the interaction of medicine and culture through questions such as: How did western powers use biomedicine in the context of empire? How do non-western cultures appropriate and indigenize biomedicine?",72,HIST 97A,10917
What is Intellectual History?,"Intellectual historians study almost every period, place, and theme in human history: from classical times to the present, from Asia to the Americas, by examining philosophy and religion, social and political thought, literature and art, and other expressions of human agency and intention that range from ancient epics to graphic novels. This section will draw examples from a wide range of moments and regions to ask how intellectual history has developed as a field, what methods it uses, and how it can be distinguished from other forms of history even as it informs debates of interest to all historians.",72,HIST 97B,10918
What is the History of History?,"Everything has a history, and the discipline of history has a particularly long and broad one. In this section we'll focus on ideas about how and why to study history and on the practices of historical research and writing as they have varied across different cultural contexts. In selected case studies we will consider who wrote and who read history, and how historians answered questions that we also ask ourselves today. E.g. What features are essential to a good historical account? Does the study of history teach moral lessons? How does history interact with memory?",72,HIST 97C,10919
What is Environmental History?,"This section gives new History concentrators an introduction to environmental history. Most historians leave the natural world out of the story, but environmental historians regard nature as the inescapable context for human history, including the human impact on nature. We will explore how the histories of the environment and of humans can (and perhaps should) be written together. Is there a ""natural archive"" which historians can consult in parallel with conventional libraries and archives? Do places have ""biographies,"" just as people do? Can natural entities (mountains, dogs, rivers, microbes, climate) have ""agency"" in the same way human actors can?",72,HIST 97D,10920
What is Material History?,"This section offers new History concentrators an overview of the history and anthropology of material culture. Our coverage will range widely across both time and space; major themes will include things created in the deep human past as well as the habits of consumption and even addiction that define our relationship with things in the present day. Do we own things? Or do things own us? Does having more stuff necessarily lead to happiness? Readings will offer students a chance to work not just with history and historical sources, but also art history, literary studies, archaeology, environmental history, and cognitive neuroscience.",72,HIST 97F,10922
Tutorial - Junior Year: Research and Methods,,149,WOMGEN 98F,11180
Sustainable Development,"Explores contemporary understandings and practical implications of the idea of sustainable development. Investigates the meanings and measures that different groups have given to ""sustainable development;"" scientific understanding of the complex social-environmental systems we seek to develop sustainably; and lessons on how societies have avoided the ""tragedy of the commons"" while instituting practical action that advances sustainable development effectively and equitably. Employs case studies in development to meet needs for energy, food, water and health.",53,ESPP 11,10784
EJ Safra Undergraduate Ethics Fellowship Seminar,"Topics in moral philosophy and political theory that illuminate normative issues in public and professional life. Prepares undergraduate fellows across the social sciences, natural sciences, and the humanities to pursue research on normative questions.",70,GOV 94SAF,10882
The Call of Beauty,"Across the centuries, philosophers, poets, scientists, and mathematicians have meditated on the nature and power of beauty.&nbsp;&nbsp; Some have said beauty calls on us to educate ourselves; others have said it is a call to repair the injuries of the world. Our readings will come from both men and women: Plato and Sappho in ancient Greece; Aquinas and Lady Murasaki in the medieval period; Rilke and Maya Lin today.&nbsp; We will study features associated with beauty such as color (e.g. &ldquo;The Lady and the Unicorn&rdquo; tapestries depicting the five senses) and symmetry (e.g. Augustine&rsquo;s De Musica; a book on symmetry by astrophysicist Mario Livio; a recorded debate among physicists about math and beauty).&nbsp; Does the call of beauty change according to its location? Among the sites we will contemplate are the beauty of earth (e.g. the writings of environmentalist Rachel Carson; the ephemeral sculptures of Andy Goldsworthy) and the beauty of faces (such as Homer on Helen, Seamus Heaney on an unnamed soldier).",56,FRSEMR 39N,10828
"Humans, Technology, and Biopolitics","Recent scientific and technological advances are increasingly questioning what it means to be human. Debates on life extension, gene editing, and artificial intelligence regularly appear in the media, with views ranging from techno-optimism&mdash;the idea that such breakthroughs will deliver us from suffering&mdash;to the warnings that technoscience is advancing at such a rapid pace, that there is not enough time for ethical guidelines to be developed. Some argue that science is increasingly delivering on the promises traditionally made by Judeo-Christian religions, while others assert that such techno-optimist thinking is a kind of new religion in and of itself. Debates around emerging technologies cut across traditional political lines, making them specifically biopolitical, where such issues as human enhancement, control of reproduction,&nbsp; genetic engineering, and many others, create new types of political positions and actors. This course will examine these issues, focusing specifically on what concepts of &ldquo;the human&rdquo; emerge from these debates, and how certain ideas about the future affect how we live and manage our time now, as futurist discourses are producing affective states of both hope and fear. Among the case studies for this course, we will look at the cultural and philosophical movements of transhumanism and posthumanism, new utopian and eschatological imaginaries, as well as ethical and legal questions of developing and using biomedical technologies, including their non-therapeutic use. As we proceed, we will pay particular attention to the shifting relations between body and person, human and time, transcendence and corporality, and technology and biology, while discussing how they contribute to the rethinking of the human condition in the technological age. Materials for the course will include academic pieces from a range of disciplines: STS, anthropology, philosophy, bioethics, as well as non-academic media sources, documentaries, and science fiction films.",136,SOC-STD 98OC,11154
Symmetries and Geometry in Quantum Mechanics,"This course will review the role of symmetries in quantum mechanics. Topics include atomic and molecular symmetries, crystallographic symmetries, spontaneous symmetry breaking and phase transitions, geometrical Berry phases, topological aspects of condensed matter systems. Mathematical basics of group theory will be taught as needed to give students an understanding of the topics covered.",123,PHYSICS 144,11092
Foundations of International Macroeconomic Policy,"This is an intermediate level international finance and macroeconomics course that uses a mix of theoretical, empirical, and policy frameworks to analyze topical problems in international finance. The core objective of the course is to develop simple macroeconomic models of open economies that can be usefully applied to international economic phenomena. We will examine the balance of payments, the determination of exchange rates, the effect of fiscal and monetary policies under fixed and floating exchange rate regimes, balance of payment crisis, international macroeconomic dependence, financial globalization, and the challenges facing developing economies. Recent issues such as the crisis in the Euro area and the sustainability of the Euro, the global transmission of the financial crisis, global imbalances, China's exchange rate policy, among others, will receive attention. Note: May not be taken for credit with Economics 1530 or 1435.",45,ECON 1544,10720
The Comparative Politics of Eurasia,"Examines trends in national and transnational politics in the post-Soviet states with special attention to identity, leadership, institutions, economic problems, and the role of great powers. Explores these topics through readings, discussion, and focused case studies.",70,GOV 2151,10900
